attempt_id,timestamp,exercise_id,exercise_name,accuracy_std,tilt_std,pressure_std
0,1706188710,0,letter a,6.141592,4.514239,5.485267
1,1706882660,1,letter e,5.415925,3.141592,5.994358
2,1706883268,0,letter a,4.672162,6.924668,6.481315
3,1706883400,0,letter a,2.794318,7.589732,3.141592
4,1706947770,2,heart,2.167235,5.994358,5.485267
5,1706948138,2,heart,3.141592,6.481315,2.364892
6,1706948555,1,letter e,4.926448,3.141592,2.794318
7,1706948555,2,heart,2.514239,5.485267,4.589732
8,1707153938,0,letter a,3.141592,2.364892,5.994358
9,1707154238,1,letter e,1.924668,2.794318,6.481315
10,1707251374,0,letter a,1.589732,2.167235,3.141592
11,1707310395,3,letter m,0.994358,3.141592,3.141592
12,1707310560,3,letter m,2.481315,4.926448,2.264489
13,1707310730,3,letter m,3.141592,2.514239,2.514239
14,1707310834,0,letter a,5.485267,3.141592,1.415923
15,1707311245,1,letter e,2.364892,1.924668,1.846682
16,1707409055,1,letter e,1.348461,1.589732,1.597328
17,1707409234,3,letter m,3.141592,0.994358,0.893584
18,1707409534,3,letter m,2.004866,2.481315,2.113158
19,1707409534,1,letter e,0.624862,3.141592,3.001415
20,1707565284,2,heart,0.958613,4.485267,3.141592
21,1707565591,0,letter a,3.141592,2.364892,1.924668
22,1707715040,2,heart,2.176263,1.348461,1.589732
23,1707715215,1,letter e,2.864325,3.141592,0.994358
